country_name,languages,first_language
Laos,"Lao (official), French, English, various ethnic languages",Lao
Latvia,"Latvian 58% (official), Russian 38%, Lithuanian, other (2000)",Latvian
Lebanon,"Arabic (official), French, English, Armenian",Arabic
Lesotho,"English, Sesotho (both official); Zulu, Xhosa",English
Liberia,"English 20% (official), some 20 ethnic-group languages",English
Libya,"Arabic, Italian, and English widely understood in major cities",Arabic
Liechtenstein,"German (official), Alemannic dialect",German
Lithuania,"Lithuanian 82% (official), Russian 8%, Polish 6% (2001)",Lithuanian
Luxembourg,"Luxermbourgish (national) French, German (both administrative)",Luxermbourgish
Macedonia,"Macedonian 67%, Albanian 25% (both official); Turkish 4%, Roma 2%, Serbian 1% (2002)",Macedonian
Madagascar,Malagasy and French (both official),Malagasy
Malawi,"Chichewa 57.2% (official), Chinyanja 12.8%, Chiyao 10.1%, Chitumbuka 9.5%, Chisena 2.7%, Chilomwe 2.4%, Chitonga 1.7%, other 3.6% (1998)",Chichewa
Malaysia,"Bahasa Melayu (Malay, official), English, Chinese dialects (Cantonese, Mandarin, Hokkien, Hakka, Hainan, Foochow), Tamil, Telugu, Malayalam, Panjabi, Thai; several indigenous languages (including Iban, Kadazan) in East Malaysia",Bahasa Melayu
Maldives,Maldivian Dhivehi (official); English spoken by most government officials,Maldivian Dhivehi
Mali,"French (official), Bambara 80%, numerous African languages",French
Malta,Maltese and English (both official),Maltese
Marshall Islands,"Marshallese 98% (two major dialects from the Malayo-Polynesian family), English widely spoken as a second language (both official); Japanese",Marshallese
Mauritania,"Hassaniya Arabic (official), Pulaar, Soninke, French, Wolof",Hassaniya Arabic
Mauritius,"English less than 1% (official), Creole 81%, Bojpoori 12%, French 3% (2000)",Creole
Mexico,"Spanish, various Mayan, Nahuatl, and other regional indigenous languages",Spanish
Micronesia,"English (official, common), Chukese, Pohnpeian, Yapase, Kosrean, Ulithian, Woleaian, Nukuoro, Kapingamarangi",English
Moldova,"Moldovan (official; virtually the same as Romanian), Russian, Gagauz (a Turkish dialect)",Moldovan
Monaco,"French (official), English, Italian, Monégasque",French
Mongolia,"Mongolian, 90%; also Turkic and Russian (1999)",Mongolian
Montenegro,Serbian/Montenegrin (Ijekavian dialect—official),Serbian
Morocco,"Arabic (official), Berber dialects, French often used for business, government, and diplomacy",Arabic
Mozambique,"Portuguese 9% (official; second language of 27%), Emakhuwa 26%, Xichangana 11%, Elomwe 8%, Cisena 7%, Echuwabo 6%, other Mozambican languages 32% (1997)",Portuguese
Myanmar,"Burmese, minority languages",Burmese
Namibia,"English 7% (official), Afrikaans is common language of most of the population and of about 60% of the white population, German 32%; indigenous languages: Oshivambo, Herero, Nama",English
Nauru,"Nauruan (official), English",Nauruan
Nepal,"Nepali 48% (official), Maithali 12%, Bhojpuri 7%, Tharu 6%, Tamang 5%, others. English spoken by many in government and business (2001)",Nepali
Netherlands,"Dutch, Frisian (both official)",Dutch
New Zealand,"English, Maori (both official)",English
Nicaragua,Spanish 98% (official); English and indigenous languages on Atlantic coast (1995),Spanish
Niger,"French (official), Hausa, Djerma",French
Nigeria,"English (official), Hausa, Yoruba, Ibo, Fulani, and more than 200 others",English
Norway,"Bokmål Norwegian, Nynorsk Norwegian (both official); small Sami- and Finnish-speaking minorities (Sami is official in six municipalities)",Bokmål Norwegian
Oman,"Arabic (official), English, Baluchi, Urdu, Indian dialects",Arabic
Pakistan,"Urdu 8%, English (both official); Punjabi 48%, Sindhi 12%, Siraiki (a Punjabi variant) 10%, Pashtu 8%, Balochi 3%, Hindko 2%, Brahui 1%, Burushaski, and others 8%",Urdu
Palau,"Palauan 64.7%, English 9.4%, Sonsoralese, Tobi, Angaur (each official on some islands), Filipino 13.5%, Chinese 5.7%, Carolinian 1.5%, Japanese 1.5%, other Asian 2.3%, other languages 1.5% (2000)",Palauan
Palestinian State (proposed),"Arabic, Hebrew, English",Arabic
Panama,"Spanish (official), English 14%, many bilingual",Spanish
Papua New Guinea,"Tok Pisin (Melanesian Pidgin, the lingua franca), Hiri Motu (in Papua region), English 1%–2%; 715 indigenous languages",Tok Pisin
Paraguay,"Spanish, Guaraní (both official)",Spanish
Peru,"Spanish, Quéchua (both official); Aymara; many minor Amazonian languages",Spanish
Philippines,"Filipino (based on Tagalog), English (both official); eight major dialects:  Tagalog, Cebuano, Ilocano, Hiligaynon or Ilonggo, Bicol, Waray, Pampango, and Pangasinense",Filipino
Poland,Polish 98% (2002),Polish
Portugal,"Portuguese (official), Mirandese (official, but locally used)",Portuguese
Qatar,Arabic (official); English a common second language,Arabic
Romania,"Romanian (official), Hungarian, German",Romanian
Russia,"Russian, others",Russian
Rwanda,"Kinyarwanda, French, and English (all official); Kiswahili in commercial centers",Kinyarwanda
St. Kitts and Nevis,English,English
St. Lucia,"English (official), French patois",English
St. Vincent and the Grenadines,"English, French patois",English
Samoa,"Samoan, English",Samoan
San Marino,Italian,Italian
São Tomé and Príncipe,Portuguese (official),Portuguese
Saudi Arabia,Arabic,Arabic
Senegal,"French (official); Wolof, Pulaar, Jola, Mandinka",French
Serbia,"Serbian (official); Romanian, Hungarian, Slovak, and Croatian (all official in Vojvodina); Albanian (official in Kosovo)",Serbian
Seychelles,"Seselwa Creole 92%, English 5%, French (all official) (2002)",Seselwa Creole
Sierra Leone,"English (official), Mende (southern vernacular), Temne (northern vernacular), Krio (lingua franca)",English
Singapore,"Mandarin 35%, English 23%, Malay 14.1%, Hokkien 11.4%, Cantonese 5.7%, Teochew 4.9%, Tamil 3.2%, other Chinese dialects 1.8%, other 0.9% (2000)",Mandarin
Slovakia,"Slovak 84% (official), Hungarian 11%, Roma 2%, Ukrainian 1% (2001)",Slovak
Slovenia,"Slovenian 91%, Serbo-Croatian 5% (2002)",Slovenian
Solomon Islands,"English 1%–2% (official), Melanesian pidgin (lingua franca), 120 indigenous languages",English
Somalia,"Somali (official), Arabic, English, Italian",Somali
South Africa,"IsiZulu 23.8%, IsiXhosa 17.6%, Afrikaans 13.3%, Sepedi 9.4%, English 8.2%, Setswana 8.2%, Sesotho 7.9%, Xitsonga 4.4%, other 7.2%",IsiZulu
South Sudan,"English (official), Arabic (includes Juba and Sudanese variants) (official), regional languages include Dinka, Nuer, Bari, Zande, Shilluk",English
Spain,"Castilian Spanish 74% (official nationwide); Catalan 17%, Galician 7%, Basque 2% (each official regionally)",Spanish
Sri Lanka,"Sinhala 74% (official and national), Tamil 18% (national), other 8%; English is commonly used in government and spoken competently by about 10%",Sinhala
Sudan,"Arabic (official), Nubian, Ta Bedawie, diverse dialects of Nilotic, Nilo-Hamitic, Sudanic languages, English",Arabic
Suriname,"Dutch (official), Surinamese (lingua franca), English widely spoken, Hindustani, Javanese",Dutch
Swaziland,"English, siSwati (both official)",English
Sweden,"Swedish, small Sami- and Finnish-speaking minorities",Swedish
Switzerland,"German 64%, French 20%, Italian 7% (all official); Romansch 0.5% (national)",German
Syria,"Arabic (official); Kurdish, Armenian, Aramaic, Circassian widely understood; French, English somewhat understood",Arabic
Taiwan,"Chinese (Mandarin, official), Taiwanese (Min), Hakka dialects",Chinese
Tajikistan,"Tajik (official), Russian widely used in government and business",Tajik
Tanzania,"Swahili, English (both official); Arabic; many local languages",Swahili
Thailand,"Thai (Siamese), English (secondary language of the elite), ethnic and regional dialects",Thai
Togo,"French (official, commerce); Ewé, Mina (south); Kabyé, Dagomba (north); and many dialects",French
Tonga,"Tongan (an Austronesian language), English",Tongan
Trinidad and Tobago,"English (official), Hindi, French, Spanish, Chinese",English
Tunisia,"Arabic (official, commerce), French (commerce)",Arabic
Turkey,"Turkish (official), Kurdish, Dimli, Azeri, Kabardian",Turkish
Turkmenistan,"Turkmen 72%; Russian 12%; Uzbek 9%, other 7%",Turkmen
Tuvalu,"Tuvaluan, English, Samoan, Kiribati (on the island of Nui)",Tuvaluan
Uganda,"English (official), Ganda or Luganda, other Niger-Congo languages, Nilo-Saharan languages, Swahili, Arabic",English
Ukraine,"Ukrainian 67%, Russian 24%, Romanian, Polish, Hungarian",Ukrainian
United Arab Emirates,"Arabic (official), Persian, English, Hindi, Urdu",Arabic
United Kingdom,"English, Welsh, Scots Gaelic",English
United States,"English 82%, Spanish 11% (2000)",English
Uruguay,"Spanish, Portunol, or Brazilero",Spanish
Uzbekistan,"Uzbek 74.3%, Russian 14.2%, Tajik 4.4%, other 7.1%",Uzbek
Vanuatu,"Bislama 23% (a Melanesian pidgin English), English 2%, French 1% (all 3 official); more than 100 local languages 73%",Bislama
Vatican City (Holy See),"Italian, Latin, French, various other languages",Italian
Venezuela,"Spanish (official), numerous indigenous dialects",Spanish
Vietnam,"Vietnamese (official); English (increasingly favored as a second language); some French, Chinese, Khmer; mountain area languages (Mon-Khmer and Malayo-Polynesian)",Vietnamese
Western Sahara (proposed state),"Hassaniya Arabic, Moroccan Arabic",Hassaniya Arabic
Yemen,Arabic,Arabic
Zambia,"English (official); major vernaculars: Bemba, Kaonda, Lozi, Lunda, Luvale, Nyanja, Tonga; about 70 other indigenous languages",English
Zimbabwe,"English (official), Shona, Ndebele (Sindebele), numerous minor tribal dialects",English
